,doc_id,item,category,amount,price,discount
0,13d7reTpst,Ручка синяя,Канцтовары,4,50,0
1,13d7reTpst,Малярный скотч,Канцтовары,5,60,2
2,13D5LRZ0BI,Канцелярский нож,Канцтовары,3,80,0
3,132d6qvXsj,Отвертка - мал,Инструменты,2,80,11
4,132d6qvXsj,Ручка синяя,Канцтовары,1,50,0
5,1314Adrc7v,Отвертка + мал,Инструменты,5,80,0
6,1314Adrc7v,Comet чистящее средство,Бытовая химия,3,170,9
7,13Io1CjjBP,Бумага 100 листов,Канцтовары,2,600,8
8,13Io1CjjBP,Наволочка прямоугольная,Текстиль,3,650,0
9,130zNyJSiE,Ручка синяя,Канцтовары,1,50,0
10,13rfWIa2Yn,Простынь 2,Текстиль,2,2100,0
11,13PYeA72mt,Малярный скотч,Канцтовары,2,60,0
12,13NJcO9Md9,Набор кастрюль,Посуда,1,3500,0
13,131eO2el4p,Ручка зеленая,Канцтовары,1,50,0
14,131eO2el4p,Наволочка прямоугольная,Текстиль,3,650,0
15,13Lq8Hib89,Пододеяльник 1,Текстиль,2,1500,0
16,13uTC5r1rN,Пододеяльник 1.5,Текстиль,3,1700,0
17,13uTC5r1rN,Отвертка - мал,Инструменты,1,80,12
18,13O1HIdJjg,Бумага 100 листов,Канцтовары,1,600,9
19,13O1HIdJjg,Ручка синяя,Канцтовары,2,50,0
20,13a2Xaoi2Z,Малярный скотч,Канцтовары,2,60,0
21,13a2Xaoi2Z,Пододеяльник 1.5,Текстиль,4,1700,0
22,136yWFyFNs,Полотенце бол,Текстиль,2,1100,0
23,136yWFyFNs,Наволочка квадратная,Текстиль,1,600,0
24,13LpKFUdFK,Отвертка - мал,Инструменты,5,80,6
25,13LpKFUdFK,Отвертка - бол,Инструменты,4,130,9
26,13bZabij8h,Пододеяльник 1,Текстиль,1,1500,0
27,132AvKb8GH,Fairy моющее средство,Бытовая химия,3,150,9
28,132AvKb8GH,Отвертка + мал,Инструменты,3,80,0
29,13ySUdMfYr,Стакан синий,Посуда,4,220,4
30,13ySUdMfYr,Отвертка + бол,Инструменты,5,130,7
31,13KVVf7Qh3,Ручка красная,Канцтовары,2,50,0
32,13kfUBU541,Бумага 100 листов,Канцтовары,3,600,9
33,13kfUBU541,Крот средство от засоров,Бытовая химия,2,120,0
34,137C4PT5DY,Малярный скотч,Канцтовары,5,60,0
35,137C4PT5DY,Простынь 1,Текстиль,4,1200,0
36,13cbiklxXe,AOS моющее средство,Бытовая химия,4,130,1
37,13cbiklxXe,Ручка красная,Канцтовары,1,50,0
38,13SZ8rqmn3,Отвертка + мал,Инструменты,4,80,0
39,13SZ8rqmn3,Ручка красная,Канцтовары,2,50,0
40,13Rc7MLdHi,Простынь 2,Текстиль,5,2100,10
41,13FcF9Nluz,Простынь 1.5,Текстиль,2,1500,0
42,13A7e97opX,Наволочка прямоугольная,Текстиль,5,650,8
43,13ADcfsimC,Ручка красная,Канцтовары,1,50,0
44,13yiGcb6zy,Отвертка + бол,Инструменты,2,130,0
45,13yiGcb6zy,Набор кастрюль,Посуда,5,3500,1
46,133T3yWIqs,Ручка синяя,Канцтовары,2,50,3
47,13ObAohpaT,Простынь 2,Текстиль,4,2100,10
48,13ObAohpaT,Пододеяльник 2,Текстиль,2,2200,0
49,13Xnyj4Ojb,Крот средство от засоров,Бытовая химия,5,120,1
50,13Ndo6VWeg,Ручка синяя,Канцтовары,2,50,0
51,13Ndo6VWeg,Набор кастрюль,Посуда,4,3500,0
52,134JCYdinn,Отвертка - бол,Инструменты,2,130,0
53,134JCYdinn,Наволочка прямоугольная,Текстиль,1,650,8
54,13aZfK0NTf,Полотенце бол,Текстиль,5,1100,0
55,13uh9xT1N6,Канцелярский нож,Канцтовары,2,80,0
56,13uh9xT1N6,Бокорезы,Инструменты,5,300,0
57,13Q2IFzkZN,Тарелка бол,Посуда,3,220,0
58,13fn053Z5i,Набор блюдец,Посуда,1,470,0
59,13muFVWai3,Ручка синяя,Канцтовары,3,50,0
60,13muFVWai3,Ручка красная,Канцтовары,1,50,11
61,13VNq5iZjF,Отвертка + мал,Инструменты,1,80,3
62,13CiVL3FBR,Полотенце бол,Текстиль,1,1100,14
63,133Haqn8i5,Плоскогубцы,Инструменты,1,320,0
64,133Haqn8i5,Отвертка - бол,Инструменты,4,130,0
65,131NdES5jO,Тарелка бол,Посуда,2,220,0
66,131NdES5jO,Набор кастрюль,Посуда,5,3500,0
67,131RlIXJSr,Простынь 1.5,Текстиль,2,1500,6
68,13Uz4XnHBA,Простынь 2,Текстиль,4,2100,15
69,13Uz4XnHBA,Отвертка + мал,Инструменты,2,80,6
70,135F3dVkEY,Отвертка - мал,Инструменты,1,80,0
71,135F3dVkEY,Наволочка прямоугольная,Текстиль,1,650,0
72,13y9t3BAUW,Простынь 1.5,Текстиль,5,1500,7
73,13LhegLpCO,Бумага 100 листов,Канцтовары,1,600,8
74,13neuBMPFh,Ручка синяя,Канцтовары,4,50,2
75,13neuBMPFh,Крот средство от засоров,Бытовая химия,5,120,0
76,13QTMEA2dN,Стакан синий,Посуда,4,220,0
77,13KjGePwvV,Набор блюдец,Посуда,5,470,0
78,13KjGePwvV,Простынь 1,Текстиль,1,1200,14
79,13BmTkObO3,Стакан черный,Посуда,5,220,6
80,13BmTkObO3,Отвертка + мал,Инструменты,5,80,15
81,13TGeZxFpl,Полотенце мал,Текстиль,2,500,0
82,13TGeZxFpl,Пододеяльник 1,Текстиль,5,1500,0
83,13lCPQStEx,Канцелярский нож,Канцтовары,4,80,0
84,13lCPQStEx,Набор блюдец,Посуда,2,470,4
85,13DuSUURKZ,Отвертка - мал,Инструменты,5,80,5
86,13DuSUURKZ,Пододеяльник 1,Текстиль,5,1500,2
87,13DBxMsUEz,Пододеяльник 1.5,Текстиль,4,1700,0
88,13DBxMsUEz,Стакан синий,Посуда,1,220,0
89,135R2KoC9u,Ручка синяя,Канцтовары,2,50,1
90,13eFH3eUVg,Крот средство от засоров,Бытовая химия,2,120,3
