,doc_id,item,category,amount,price,discount
0,32mXsA8jY1,Простынь 1.5,Текстиль,1,1500,0
1,32mXsA8jY1,Плоскогубцы,Инструменты,4,320,2
2,32q7lZ7oQ0,Малярный скотч,Канцтовары,5,60,0
3,32q7lZ7oQ0,Fairy моющее средство,Бытовая химия,1,150,8
4,32X6zPGXBu,Пододеяльник 1,Текстиль,2,1500,0
5,32X6zPGXBu,Малярный скотч,Канцтовары,2,60,0
6,32SbtLvQ3m,Плоскогубцы,Инструменты,2,320,0
7,32i4qpxj8m,Крот средство от засоров,Бытовая химия,4,120,10
8,32i4qpxj8m,Бокорезы,Инструменты,1,300,0
9,32j5ccH9mu,Пододеяльник 2,Текстиль,5,2200,0
10,32KXZlRvom,Простынь 1,Текстиль,1,1200,0
11,32KXZlRvom,Бумага 100 листов,Канцтовары,4,600,0
12,32zwZR6fmu,AOS моющее средство,Бытовая химия,3,130,0
13,32HeDfxwoD,Отвертка + бол,Инструменты,5,130,0
14,32GfzqvPmo,Набор блюдец,Посуда,1,470,0
15,32SAOJyE6A,Ручка синяя,Канцтовары,4,50,0
16,32SAOJyE6A,Отвертка + мал,Инструменты,1,80,10
17,32vyUw9VEo,Наволочка квадратная,Текстиль,1,600,0
18,32vyUw9VEo,Полотенце бол,Текстиль,1,1100,0
19,32SroP1tXu,Крот средство от засоров,Бытовая химия,5,120,0
20,32SroP1tXu,Наволочка прямоугольная,Текстиль,1,650,7
21,32fh7mPYHj,Простынь 1,Текстиль,1,1200,0
22,32fh7mPYHj,Отвертка - бол,Инструменты,3,130,0
23,32MylADYkF,Наволочка квадратная,Текстиль,3,600,0
24,32MylADYkF,Отвертка + бол,Инструменты,4,130,0
25,32qBtMv06T,Набор кастрюль,Посуда,4,3500,0
26,32J5lm5YSY,Набор блюдец,Посуда,5,470,0
27,32J5lm5YSY,Канцелярский нож,Канцтовары,3,80,0
28,32Rn1CTXIB,Набор блюдец,Посуда,1,470,0
29,32Rn1CTXIB,Fairy моющее средство,Бытовая химия,3,150,13
30,32sj7aVAR0,AOS моющее средство,Бытовая химия,2,130,0
31,32sj7aVAR0,Набор кастрюль,Посуда,1,3500,0
32,32aYPegD1z,Стакан черный,Посуда,4,220,0
33,32aYPegD1z,Простынь 1,Текстиль,3,1200,0
34,32uvcHaTDd,Набор кастрюль,Посуда,3,3500,4
35,32uvcHaTDd,Бумага 100 листов,Канцтовары,5,600,10
36,32Lsh2LrQZ,Полотенце мал,Текстиль,5,500,4
37,32BqNuDVyv,Отвертка + бол,Инструменты,5,130,0
38,32BqNuDVyv,Ручка красная,Канцтовары,3,50,0
39,32N1HOEuJr,Тарелка бол,Посуда,5,220,0
40,32N1HOEuJr,Крот средство от засоров,Бытовая химия,3,120,0
41,32zlybJOnH,Бумага 100 листов,Канцтовары,1,600,0
42,32zlybJOnH,Тарелка бол,Посуда,3,220,0
43,32WkieQdU5,Тарелка мал,Посуда,3,150,0
44,328FeDDJMB,Канцелярский нож,Канцтовары,2,80,0
45,327R5YcWhU,Ручка красная,Канцтовары,4,50,11
46,327R5YcWhU,Тарелка мал,Посуда,4,150,1
47,32O9ES6ZwX,Comet чистящее средство,Бытовая химия,1,170,0
48,32O9ES6ZwX,Стакан синий,Посуда,2,220,7
49,32L0pmNScX,Comet чистящее средство,Бытовая химия,5,170,0
50,32L0pmNScX,Fairy моющее средство,Бытовая химия,5,150,0
51,32eXlCaqGW,Бокорезы,Инструменты,5,300,10
52,32eXlCaqGW,Пододеяльник 2,Текстиль,3,2200,1
53,32LzBGeG6Q,Ручка красная,Канцтовары,2,50,0
54,32LzBGeG6Q,Наволочка прямоугольная,Текстиль,5,650,0
55,32fiQv90Em,Стакан синий,Посуда,1,220,0
56,32aqBUA3tk,Ручка зеленая,Канцтовары,4,50,10
57,32aqBUA3tk,Бумага 100 листов,Канцтовары,5,600,0
58,320jojC2kJ,Наволочка прямоугольная,Текстиль,4,650,0
59,320jojC2kJ,Пододеяльник 1,Текстиль,4,1500,0
60,32NyFKNJpa,Пододеяльник 1.5,Текстиль,1,1700,0
61,32NyFKNJpa,Fairy моющее средство,Бытовая химия,4,150,0
62,32g7rZjbqU,Бокорезы,Инструменты,4,300,0
63,32ibFpQhNw,Простынь 2,Текстиль,5,2100,8
64,32ibFpQhNw,Полотенце бол,Текстиль,5,1100,0
65,32Pkal2X7s,Comet чистящее средство,Бытовая химия,4,170,0
66,32Pkal2X7s,Простынь 2,Текстиль,3,2100,0
67,32fHdKz1Zh,Fairy моющее средство,Бытовая химия,2,150,0
68,32REm9tG6J,Ручка красная,Канцтовары,1,50,0
69,327LPHIbqT,Ручка синяя,Канцтовары,2,50,14
70,327LPHIbqT,Полотенце мал,Текстиль,4,500,11
71,32iJ9i2uy8,Отвертка - мал,Инструменты,5,80,0
72,32TXFurHMA,Полотенце бол,Текстиль,3,1100,0
73,32TXFurHMA,Тарелка бол,Посуда,5,220,0
74,32ubKcwisM,AOS моющее средство,Бытовая химия,3,130,0
75,32ubKcwisM,Канцелярский нож,Канцтовары,1,80,0
76,3235hUmzvR,AOS моющее средство,Бытовая химия,2,130,10
77,3235hUmzvR,Наволочка квадратная,Текстиль,5,600,0
78,32gFD6xf1A,Наволочка прямоугольная,Текстиль,3,650,3
79,32LeFimrlL,Пододеяльник 1.5,Текстиль,5,1700,0
80,32gKIcwiAS,Простынь 1,Текстиль,4,1200,0
81,32B61FEwpK,Отвертка - мал,Инструменты,5,80,0
82,32B61FEwpK,Пододеяльник 2,Текстиль,2,2200,0
83,32Jw3Sz6Fx,Малярный скотч,Канцтовары,1,60,1
84,32Jw3Sz6Fx,Fairy моющее средство,Бытовая химия,4,150,0
85,324GdGS1jU,Малярный скотч,Канцтовары,4,60,0
86,32WrfMLcG8,Простынь 2,Текстиль,4,2100,6
87,32WrfMLcG8,Стакан черный,Посуда,3,220,0
88,32l6MJtk7n,Простынь 2,Текстиль,4,2100,0
89,32FwwPDqGl,AOS моющее средство,Бытовая химия,3,130,0
90,32A98wjWLl,Полотенце бол,Текстиль,3,1100,0
91,32B8GflHpM,Малярный скотч,Канцтовары,2,60,11
92,32cwuvP43m,Бумага 100 листов,Канцтовары,3,600,7
93,32cwuvP43m,Fairy моющее средство,Бытовая химия,2,150,0
94,32OmvS4AnM,Тарелка мал,Посуда,4,150,0
95,32HNyuUFjH,Пододеяльник 2,Текстиль,4,2200,0
96,32RHAvDpRx,Наволочка прямоугольная,Текстиль,4,650,0
97,32RHAvDpRx,Набор блюдец,Посуда,1,470,0
98,32qekJut49,Пододеяльник 1.5,Текстиль,4,1700,0
99,32qekJut49,Наволочка квадратная,Текстиль,3,600,15
100,32A6EBYY7F,Отвертка + бол,Инструменты,1,130,0
101,32A6EBYY7F,Тарелка бол,Посуда,4,220,0
102,32EIuBjjqQ,Полотенце мал,Текстиль,1,500,0
103,32BKYtIx5l,Бокорезы,Инструменты,1,300,0
104,32PGr0fKjU,Пододеяльник 1,Текстиль,3,1500,0
105,32Ks6ItnKC,Ручка синяя,Канцтовары,2,50,0
106,32Ks6ItnKC,Отвертка - бол,Инструменты,4,130,0
107,32MVYP2svM,Простынь 1.5,Текстиль,4,1500,12
108,32MVYP2svM,Канцелярский нож,Канцтовары,5,80,0
109,32gWOPxnD4,Ручка синяя,Канцтовары,2,50,10
110,32AF1coJJC,Тарелка мал,Посуда,5,150,0
111,32AF1coJJC,Пододеяльник 1.5,Текстиль,3,1700,10
112,322bFfXYk8,Плоскогубцы,Инструменты,4,320,0
113,322bFfXYk8,Наволочка прямоугольная,Текстиль,4,650,0
114,32fsGZNQN9,Набор кастрюль,Посуда,4,3500,0
115,325a6bfxaP,Канцелярский нож,Канцтовары,3,80,1
116,325a6bfxaP,Fairy моющее средство,Бытовая химия,4,150,14
117,32BsyFjV1d,Отвертка - бол,Инструменты,5,130,15
118,32PEYVYLma,Отвертка - мал,Инструменты,3,80,0
119,32PEYVYLma,Пододеяльник 1.5,Текстиль,2,1700,13
120,32TgdGThlb,Пододеяльник 1,Текстиль,3,1500,0
