,doc_id,item,category,amount,price,discount
0,12fryGSkVR,Плоскогубцы,Инструменты,4,320,7
1,12fryGSkVR,Наволочка квадратная,Текстиль,1,600,0
2,12WZc3Uly8,Набор кастрюль,Посуда,1,3500,0
3,12cVhg6k2o,Пододеяльник 1.5,Текстиль,5,1700,0
4,12WrxagNvp,Отвертка + мал,Инструменты,1,80,8
5,1267J3SUYH,Comet чистящее средство,Бытовая химия,5,170,0
6,122vP7DyVl,Канцелярский нож,Канцтовары,4,80,0
7,12mtAc3JFX,Пододеяльник 1.5,Текстиль,1,1700,0
8,129PhlExGH,Набор блюдец,Посуда,1,470,0
9,12cdkDYFSG,AOS моющее средство,Бытовая химия,2,130,0
10,12g9DHY6xS,Comet чистящее средство,Бытовая химия,1,170,11
11,12g9DHY6xS,Ручка зеленая,Канцтовары,4,50,0
12,12jqW3eZsq,Полотенце бол,Текстиль,3,1100,15
13,12jqW3eZsq,Простынь 1,Текстиль,5,1200,0
14,12xEnesjaQ,Наволочка квадратная,Текстиль,5,600,0
15,12qJW1U1DM,Comet чистящее средство,Бытовая химия,3,170,15
16,12qJW1U1DM,Простынь 1.5,Текстиль,1,1500,8
17,12szPRxB5M,Comet чистящее средство,Бытовая химия,3,170,0
18,120VKi152y,Наволочка прямоугольная,Текстиль,3,650,0
19,12jcAjFjZC,Простынь 1,Текстиль,3,1200,0
20,12jcAjFjZC,Крот средство от засоров,Бытовая химия,4,120,12
21,126rhGEynr,Отвертка - мал,Инструменты,4,80,10
22,126rhGEynr,Набор кастрюль,Посуда,1,3500,9
23,12iE0Y28hI,Пододеяльник 1,Текстиль,4,1500,0
24,12iE0Y28hI,Отвертка + мал,Инструменты,5,80,10
25,12hgMpQiOz,Малярный скотч,Канцтовары,5,60,0
26,12GPidqu90,Ручка синяя,Канцтовары,4,50,0
27,12GPidqu90,Отвертка + бол,Инструменты,1,130,0
28,12wLFmiZRx,Малярный скотч,Канцтовары,5,60,0
29,12aNapsPvV,Плоскогубцы,Инструменты,3,320,0
30,1292quwu6f,Ручка зеленая,Канцтовары,4,50,0
31,1292quwu6f,Ручка красная,Канцтовары,2,50,0
32,12SnWeL11h,Тарелка мал,Посуда,4,150,0
33,12SP5Jtmqd,Тарелка бол,Посуда,1,220,0
34,12SP5Jtmqd,AOS моющее средство,Бытовая химия,4,130,15
35,12GTdvRcpe,Пододеяльник 1,Текстиль,2,1500,7
