,doc_id,item,category,amount,price,discount
0,1474rNeJQt,Ручка синяя,Канцтовары,2,50,0
1,140iOoz19C,Набор кастрюль,Посуда,5,3500,0
2,140iOoz19C,Плоскогубцы,Инструменты,1,320,0
3,14MEXtz1Wq,Набор блюдец,Посуда,5,470,11
4,14eotTHqHY,Ручка зеленая,Канцтовары,1,50,0
5,140OinPT2c,Ручка красная,Канцтовары,1,50,0
6,140OinPT2c,Отвертка - мал,Инструменты,1,80,0
7,142OwULRh3,Fairy моющее средство,Бытовая химия,4,150,0
8,14Q2EhB51s,Полотенце мал,Текстиль,4,500,9
9,14Q2EhB51s,Наволочка прямоугольная,Текстиль,3,650,7
10,14H6tRMpsP,Простынь 2,Текстиль,2,2100,15
11,14H6tRMpsP,Ручка синяя,Канцтовары,5,50,11
12,14wv9688nO,Тарелка бол,Посуда,4,220,10
13,14wv9688nO,Отвертка - бол,Инструменты,1,130,0
14,148s3VuBp5,Стакан черный,Посуда,2,220,0
15,14a6p5Btvq,Стакан синий,Посуда,2,220,8
16,14NZx4HUMU,Fairy моющее средство,Бытовая химия,5,150,0
17,14PxbJ4FpI,Ручка красная,Канцтовары,3,50,0
18,14UFZ6Qe2n,Пододеяльник 1.5,Текстиль,5,1700,0
19,147YFitYo2,Полотенце мал,Текстиль,1,500,0
20,147YFitYo2,Канцелярский нож,Канцтовары,1,80,8
21,14tbooGvR3,Простынь 1.5,Текстиль,5,1500,14
22,14tbooGvR3,Пододеяльник 1.5,Текстиль,2,1700,14
23,14naM2Rd3w,Наволочка квадратная,Текстиль,1,600,0
24,14FShAI3Sb,Набор кастрюль,Посуда,3,3500,0
25,147bgVSSkn,Пододеяльник 1.5,Текстиль,3,1700,0
26,14sOoUnwt0,Пододеяльник 2,Текстиль,1,2200,0
27,14JdPxxoYJ,Полотенце мал,Текстиль,5,500,0
28,1459UY3Yq1,Бумага 100 листов,Канцтовары,1,600,0
29,14JDCGaOYX,Стакан синий,Посуда,2,220,8
30,14JDCGaOYX,Стакан черный,Посуда,4,220,9
31,14JaftoNt2,Полотенце мал,Текстиль,5,500,0
32,14wF577M8o,Набор блюдец,Посуда,1,470,11
33,14wF577M8o,Ручка зеленая,Канцтовары,5,50,0
34,14UQILPRHo,Плоскогубцы,Инструменты,5,320,0
35,14xWQhgdOF,Бокорезы,Инструменты,4,300,0
36,14qXP85ncr,Пододеяльник 2,Текстиль,5,2200,0
37,14qXP85ncr,Comet чистящее средство,Бытовая химия,3,170,0
38,14UOUxf2Sx,Стакан черный,Посуда,3,220,14
39,14UOUxf2Sx,Ручка красная,Канцтовары,2,50,2
40,14zafcUIKz,Полотенце бол,Текстиль,5,1100,0
41,14zafcUIKz,Крот средство от засоров,Бытовая химия,1,120,0
42,14Ls7b8Lfb,Простынь 2,Текстиль,2,2100,1
43,14lyJrptRV,Тарелка бол,Посуда,5,220,0
44,14lyJrptRV,Крот средство от засоров,Бытовая химия,2,120,11
45,14AAntUxT6,Ручка зеленая,Канцтовары,1,50,0
46,14AAntUxT6,Отвертка + мал,Инструменты,5,80,8
47,14wZzR84Ku,Отвертка + бол,Инструменты,3,130,0
48,14wZzR84Ku,Простынь 2,Текстиль,4,2100,0
49,14oERSZu48,Ручка красная,Канцтовары,5,50,5
50,145n8E2Amw,Набор блюдец,Посуда,3,470,0
51,140T5iQosJ,Малярный скотч,Канцтовары,2,60,8
